prayer_id,catalog_duration_seconds,repository_asset,sha256,measured_duration_seconds,format,source_type,source_path,lyric_status,known_repetitions,context_suitability,rights_status,pronunciation_status,technical_status,debug_policy,release_policy,notes
"hanuman-manojavam","30","","","","","none","","missing","none","No exact candidate was found; a related Hanuman prayer is not a substitute","not_applicable","not_applicable","MISSING: no prayer-specific human recording or timing data","text-led only; no QA fixture; never substitute hanuman-namah","text-only until an exact human recording clears all gates","The former hanuman-namah Debug substitution was removed. Exact-ID playback now fails closed."
"saraswati-aim","15","Anjali/Anjali/Resources/Audio/saraswati-aim.m4a","d50b2911d16db309ed70eb8a688adc60e901fc78911a49fff1b9bfdfc912b8a3","14.633333","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","6","Catalog assignment only; study, meeting, and before-work suitability lacks human review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it six times. Svara's similarly named asset is an unrelated Jai Maa Saraswati song and is not a replacement."
"lakshmi-shrim","15","Anjali/Anjali/Resources/Audio/lakshmi-shrim.m4a","1de443d516fdeb6e24647eb3af7692a15abdaea0a401596fb2ec291d1475cc76","16.107800","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","6","Catalog assignment only; before-work and gratitude suitability lacks human review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it six times. Svara's similarly named asset is an unrelated Jai Maa Lakshmi song and is not a replacement."
"devi-dum","15","Anjali/Anjali/Resources/Audio/devi-dum.m4a","525169491a70ecc2fec71a80ad5416695540792d7afb2a07a1b84012368b015b","15.712018","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","7","Catalog assignment only; protection, anxiety, and leaving-home suitability lacks qualified review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it seven times."
"devi-navarna","20","Anjali/Anjali/Resources/Audio/devi-navarna.m4a","9294456d955b2966c9472fc62096d5a1a602219733810192423b911745f6ef9d","20.728571","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","7","Catalog assignment only; protection and anxiety suitability and lineage-sensitive form require qualified review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling; disclose lineage sensitivity","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it seven times. Leading Oṃ and bīja pronunciation require qualified lineage-aware review."
"surya-gayatri","30","Anjali/Anjali/Resources/Audio/surya-gayatri.mp3","2f752cb85d1ef6cc3485d87693c754e05f97c9e59d7c9baf9eb8ab56725f2608","27.984000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_gayatri_mantra_traditional.mp3","unverifiable","unknown","Strong metadata fit for dawn, sunrise, study, and clarity; still requires qualified pronunciation and usage review","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 27.984s candidate does not match the restored 30s product duration","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical to the named Digital Temple variant; exact Vedic words, accents, repetition, and pronunciation were not verified."
"surya-namah","12","Anjali/Anjali/Resources/Audio/surya-namah.m4a","ccd55ad5a748b6ce5aa7224e9b5b7b8ff7c8e73aa322ca67aeb9d797bf318c72","12.623764","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","6","Catalog assignment only; dawn and leaving-home suitability lacks human review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it six times."
"shanti-triple","20","Anjali/Anjali/Resources/Audio/shanti-triple.m4a","ecf9018e7484a441edfb9e51dc0112de5b7681acf374621096789edb5c4814c5","20.797188","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","7","Catalog assignment only; sleep, anxiety, and sunset use is plausible but not culturally approved","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","The displayed phrase already contains three Śānti invocations; the generator repeated the entire phrase seven times."
"shanti-asato-ma","25","Anjali/Anjali/Resources/Audio/shanti-asato-ma.mp3","c2132b7409dd8e4cd7a70b0d572fb6c329557cc32dbd96ca226961c719349fdf","25.680000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_asato_ma_sadgamaya_traditional.mp3","partial","unknown","Strong metadata fit for study, transition, meditation, dawn/night, and peace; not culturally approved","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence; 25.680s candidate is near the restored 25s product duration, but the catalog lyric variant is partial","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling; lyric variant unresolved","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Anjali omits the source catalog's opening Oṃ and closing Oṃ Śāntiḥ Śāntiḥ Śāntiḥ. Hash identity links this file to that source variant, but a direct heard transcript is still required."
"shanti-sarve-bhavantu","25","Anjali/Anjali/Resources/Audio/shanti-sarve-bhavantu.mp3","05af0c55fe85915e4e5de92a1c5eca8b6fc440cc869e4fd97b1fbfb47437660c","21.504000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_sarve_bhavantu_sukhinah_traditional.mp3","unverifiable","unknown","Strong metadata fit for gratitude, closing prayer, family, morning, and sunset; not culturally approved","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 21.504s candidate does not match the restored 25s product duration","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical to the named Digital Temple variant; ending, repetition, and pronunciation remain unverified."
"shanti-lokah-samastah","15","Anjali/Anjali/Resources/Audio/shanti-lokah-samastah.m4a","aefa1f8dd33ecf8b1f19abec1cfd9abdf7fa1ddad16ef3c2285600ad774644b9","13.641587","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","4","Catalog assignment only; gratitude, sunset, and sleep use is plausible but not culturally approved","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it four times."
"shanti-saha-navavatu","25","Anjali/Anjali/Resources/Audio/shanti-saha-navavatu.m4a","039409a388a35501a40d24572a40f1826347336d42353fc13b0c60655bacb371","25.993469","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","3","Strong product-context fit for shared study, meeting, and before-work use; traditional closing decision still requires qualified review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling; omitted-closing decision unresolved","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched the current three-line text and omitted the common triple-Śānti closing, then repeated that text three times."
